,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_hidden_layer_sizes,param_max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.219085454940796,0.008440812428792318,0.7663043478260869,1.0,identity,5,1000,"{'activation': 'identity', 'hidden_layer_sizes': 5, 'max_iter': 1000}",9,0.7723577235772358,1.0,0.7771739130434783,1.0,0.7493188010899182,1.0,0.04655170729133941,0.00020762679675783149,0.012146538422803535,0.0
1,1.1403323809305828,0.008467276891072592,0.7663043478260869,1.0,identity,10,1000,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'max_iter': 1000}",9,0.7696476964769647,1.0,0.7771739130434783,1.0,0.7520435967302452,1.0,0.07571388739303464,0.00011938278500689925,0.010522550257561753,0.0
2,1.629710594813029,0.014243523279825846,0.7617753623188406,1.0,identity,20,1000,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'max_iter': 1000}",16,0.7669376693766937,1.0,0.779891304347826,1.0,0.7384196185286104,1.0,0.14567944526008403,0.000844841437342231,0.017310089955175,0.0
3,1.963804562886556,0.01501901944478353,0.7644927536231884,1.0,identity,50,1000,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'max_iter': 1000}",14,0.7669376693766937,1.0,0.7744565217391305,1.0,0.7520435967302452,1.0,0.2495899718251882,0.000310640307252582,0.009306465379301694,0.0
4,2.604045788447062,0.010196288426717123,0.7663043478260869,0.9972856812774075,logistic,5,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 5, 'max_iter': 1000}",9,0.7669376693766937,1.0,0.7744565217391305,0.998641304347826,0.7574931880108992,0.9932157394843962,0.02986788920778481,0.0017744425651391768,0.006935072555922105,0.002930851198051912
5,2.31437087059021,0.008895953496297201,0.7690217391304348,0.9995477159656264,logistic,10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'max_iter': 1000}",5,0.7723577235772358,1.0,0.7744565217391305,1.0,0.7602179836512262,0.9986431478968792,0.2693757417814215,2.483625410032223e-05,0.006271400471537379,0.0006396262154559424
6,2.9292049407958984,0.014760971069335938,0.7644927536231884,1.0,logistic,20,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 20, 'max_iter': 1000}",14,0.7642276422764228,1.0,0.7771739130434783,1.0,0.7520435967302452,1.0,0.2586237276171336,0.000295642370799979,0.01025414779821499,0.0
7,3.9619043668111167,0.015407721201578775,0.7672101449275363,1.0,logistic,50,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 50, 'max_iter': 1000}",7,0.7696476964769647,1.0,0.7771739130434783,1.0,0.7547683923705722,1.0,0.20669925446889353,0.0004353060290940522,0.009302527264822311,0.0
8,1.4105701446533203,0.009136120478312174,0.769927536231884,1.0,tanh,5,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 5, 'max_iter': 1000}",4,0.7696476964769647,1.0,0.7744565217391305,1.0,0.7656675749318801,1.0,0.11556139752094322,0.0002706864967881708,0.0035911089213992576,0.0
9,1.2412564754486084,0.010680437088012695,0.7690217391304348,1.0,tanh,10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 10, 'max_iter': 1000}",5,0.7696476964769647,1.0,0.782608695652174,1.0,0.7547683923705722,1.0,0.09666521243768526,0.0028036318414034643,0.011366678043317932,0.0
10,1.792287031809489,0.01463007926940918,0.7663043478260869,1.0,tanh,20,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 20, 'max_iter': 1000}",9,0.7615176151761518,1.0,0.7771739130434783,1.0,0.7602179836512262,1.0,0.0844029726977817,2.1111378436315066e-05,0.0077042344814794075,0.0
11,2.2923741340637207,0.017629067103068035,0.7653985507246377,1.0,tanh,50,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 50, 'max_iter': 1000}",13,0.7696476964769647,1.0,0.7744565217391305,1.0,0.7520435967302452,1.0,0.4016985257113192,0.003552887898239639,0.009626721111834867,0.0
12,1.1780023574829102,0.008560498555501303,0.7780797101449275,1.0,relu,5,1000,"{'activation': 'relu', 'hidden_layer_sizes': 5, 'max_iter': 1000}",2,0.7750677506775068,1.0,0.782608695652174,1.0,0.776566757493188,1.0,0.09770627843162798,0.0003723978299001388,0.003260422621264303,0.0
13,1.952405055363973,0.009693145751953125,0.7672101449275363,1.0,relu,10,1000,"{'activation': 'relu', 'hidden_layer_sizes': 10, 'max_iter': 1000}",7,0.7669376693766937,1.0,0.7717391304347826,1.0,0.7629427792915532,1.0,1.302530410656488,0.001773876731031797,0.0035938409842654856,0.0
14,1.3371878465016682,0.014595508575439453,0.7789855072463768,1.0,relu,20,1000,"{'activation': 'relu', 'hidden_layer_sizes': 20, 'max_iter': 1000}",1,0.7723577235772358,1.0,0.8016304347826086,1.0,0.7629427792915532,1.0,0.029912036625526155,0.00023968131730429547,0.016467233883890636,0.0
15,1.4446476300557454,0.014693578084309896,0.7708333333333334,1.0,relu,50,1000,"{'activation': 'relu', 'hidden_layer_sizes': 50, 'max_iter': 1000}",3,0.7750677506775068,1.0,0.782608695652174,1.0,0.7547683923705722,1.0,0.05127725608131873,6.014620273787243e-05,0.011747612368223555,0.0
