,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_kernel,param_probability,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.01185154914855957,0.003863096237182617,0.9666666666666667,1.0,0.1,linear,False,"{'C': 0.1, 'probability': False, 'kernel': 'linear'}",2,0.975,1.0,0.95,1.0,0.975,1.0,0.0018059262008600615,0.0001727076715777132,0.011785113019775804,0.0
1,0.010925610860188803,0.0033371448516845703,0.525,0.525,0.1,poly,False,"{'C': 0.1, 'probability': False, 'kernel': 'poly'}",5,0.525,0.525,0.525,0.525,0.525,0.525,0.00628981981406414,0.0008404403599535305,0.0,0.0
2,0.006666024525960286,0.0027430057525634766,0.525,0.525,0.1,rbf,False,"{'C': 0.1, 'probability': False, 'kernel': 'rbf'}",5,0.525,0.525,0.525,0.525,0.525,0.525,5.17367706259403e-06,1.2237788235295714e-05,0.0,0.0
3,0.006563107172648112,0.002529780069986979,0.9666666666666667,1.0,1,linear,False,"{'C': 1, 'probability': False, 'kernel': 'linear'}",2,0.975,1.0,0.95,1.0,0.975,1.0,4.38077874793613e-05,5.131424145355537e-05,0.011785113019775804,0.0
4,0.00635075569152832,0.002662499745686849,0.525,0.525,1,poly,False,"{'C': 1, 'probability': False, 'kernel': 'poly'}",5,0.525,0.525,0.525,0.525,0.525,0.525,5.424882834563643e-05,2.353577703971435e-05,0.0,0.0
5,0.0067106882731119795,0.002771457036336263,0.525,0.525,1,rbf,False,"{'C': 1, 'probability': False, 'kernel': 'rbf'}",5,0.525,0.525,0.525,0.525,0.525,0.525,6.423491904351258e-05,5.80137722940129e-05,0.0,0.0
6,0.006618102391560872,0.002555688222249349,0.9666666666666667,1.0,10,linear,False,"{'C': 10, 'probability': False, 'kernel': 'linear'}",2,0.975,1.0,0.95,1.0,0.975,1.0,2.9865727264241924e-05,5.2075163635433144e-05,0.011785113019775804,0.0
7,0.00650175412495931,0.0026731491088867188,0.525,0.525,10,poly,False,"{'C': 10, 'probability': False, 'kernel': 'poly'}",5,0.525,0.525,0.525,0.525,0.525,0.525,4.6323338544046675e-05,1.9547415726441988e-05,0.0,0.0
8,0.006765604019165039,0.0026470025380452475,0.975,1.0,10,rbf,False,"{'C': 10, 'probability': False, 'kernel': 'rbf'}",1,0.975,1.0,0.975,1.0,0.975,1.0,8.315056595411948e-05,4.4396387612767424e-05,0.0,0.0
