,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_n_estimators,param_n_jobs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,7.685625791549683,0.43503491083780926,0.9322916666666666,1.0,5,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 5}",2,0.96875,1.0,0.90625,1.0,0.921875,1.0,1.0705982074104936,0.07193133641600162,0.02655739329996242,0.0
1,5.068557659784953,0.4402337869008382,0.9375,1.0,10,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 10}",1,0.921875,1.0,0.9375,1.0,0.953125,1.0,0.4348986316414941,0.01524598525253873,0.01275775907699572,0.0
2,5.385189215342204,0.54876176516215,0.9322916666666666,1.0,20,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 20}",2,0.90625,1.0,0.953125,1.0,0.9375,1.0,0.21431618813688194,0.0027183325450969346,0.01948779888944761,0.0
3,6.888315121332805,0.518431822458903,0.9166666666666666,1.0,50,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 50}",6,0.921875,1.0,0.9375,1.0,0.890625,1.0,1.8802406446181872,0.05613990087101322,0.01948779888944761,0.0
4,9.287795623143515,0.5035648345947266,0.921875,1.0,100,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 100}",4,0.9375,1.0,0.9375,1.0,0.890625,1.0,1.4653890202508844,0.03441543467824318,0.02209708691207961,0.0
5,9.863455375035604,0.5595518747965494,0.921875,1.0,200,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': 200}",4,0.9375,1.0,0.9375,1.0,0.890625,1.0,1.3162378831732224,0.09482320826451673,0.02209708691207961,0.0
6,10.451777140299479,0.6197088559468588,0.9166666666666666,1.0,,1000,-1,"{'n_jobs': -1, 'n_estimators': 1000, 'max_features': None}",6,0.9375,1.0,0.921875,1.0,0.890625,1.0,0.9261329279206996,0.12245254189164481,0.01948779888944761,0.0
